OBJECTID,URN,SCHOOL_NAM,TYPE,PHASE,ADDRESS,TOWN,POSTCODE,STATUS,GENDER,EASTING,NORTHING,WARD_NAME,LSOA_NAME,LA_NAME,WEBLINK,AGE,map_icon,NEW_URN,OLD_URN,map_icon_l,Primary,x,y
17,139775,Rutherford House School,Free Schools,Primary,217 Balham High Road,London,SW17 7BQ,Open,Mixed,528313,172732,Bedford,Wandsworth 030B,Wandsworth,www.rutherfordhouseschool.co.uk/,11-Apr,STATE-FUNDED, , ,2,1,-0.155295,51.4390984
18,140957,Eden Girls' School Waltham Forest,Free Schools,Secondary,Silver Birch House,Walthanstow,E17 5QJ,Open,Girls,535685,190166,Higham Hill,Waltham Forest 014C,Waltham Forest,http://www.edengirlswalthamforest.com/,18-Nov,STATE-FUNDED, , ,2,0,-0.0425897,51.5940018
19,140962,Goresbrook School,Free Schools,All Through,Ripple Road,Dagenham,RM9 4TX,Open,Mixed,547875,183679,Thames,Barking and Dagenham 018E,Barking and Dagenham,www.goresbrookschool.org.uk,18-Apr,STATE-FUNDED, , ,2,1,0.130539,51.5326996
20,140962,Goresbrook School,Free Schools,All Through,Ripple Road,Dagenham,RM9 4TX,Open,Mixed,547875,183679,Thames,Barking and Dagenham 018E,Barking and Dagenham,www.goresbrookschool.org.uk,18-Apr,STATE-FUNDED, , ,2,0,0.130539,51.5326996
21,100001,City of London School for Girls,Other Independent School,Not applicable,St Giles' Terrace,London,EC2Y 8BB,Open,Girls,532301,181746,Cripplegate,City of London 001B,City of London,http://www.clsg.org.uk,18-Jul, , , ,2,1,-0.0945782,51.5191994
22,100001,City of London School for Girls,Other Independent School,Not applicable,St Giles' Terrace,London,EC2Y 8BB,Open,Girls,532301,181746,Cripplegate,City of London 001B,City of London,http://www.clsg.org.uk,18-Jul, , , ,2,0,-0.0945782,51.5191994
23,100002,St Paul's Cathedral School,Other Independent School,Not applicable,2 New Change,London,EC4M 9AD,Open,Mixed,532160,181151,Bread Street,City of London 001F,City of London,http://www.stpauls.co.uk/school/school.htm,13-Apr, , , ,2,1,-0.0968321,51.5138016
24,100002,St Paul's Cathedral School,Other Independent School,Not applicable,2 New Change,London,EC4M 9AD,Open,Mixed,532160,181151,Bread Street,City of London 001F,City of London,http://www.stpauls.co.uk/school/school.htm,13-Apr, , , ,2,0,-0.0968321,51.5138016
25,100003,City of London School,Other Independent School,Not applicable,Queen Victoria Street,London,EC4V 3AL,Open,Boys,531981,180844,Queenhithe,City of London 001F,City of London,http://www.clsb.org/,18-Oct, , , ,2,1,-0.099525,51.5111008
26,100003,City of London School,Other Independent School,Not applicable,Queen Victoria Street,London,EC4V 3AL,Open,Boys,531981,180844,Queenhithe,City of London 001F,City of London,http://www.clsb.org/,18-Oct, , , ,2,0,-0.099525,51.5111008
27,100061,St Christopher's School,Other Independent School,Not applicable,32 Belsize Lane,London,NW3 5AE,Open,Girls,526978,185153,Hampstead Town,Camden 008D,Camden, ,11-Apr, , , ,2,1,-0.170027,51.5509987
28,100062,St Margaret's School,Other Independent School,Not applicable,18 Kidderpore Gardens,London,NW3 7SR,Open,Girls,525551,185876,Frognal and Fitzjohns,Camden 004D,Camden,http://www.st-margarets.co.uk/,16-Apr, , , ,2,1,-0.190339,51.5578003
29,100062,St Margaret's School,Other Independent School,Not applicable,18 Kidderpore Gardens,London,NW3 7SR,Open,Girls,525551,185876,Frognal and Fitzjohns,Camden 004D,Camden,http://www.st-margarets.co.uk/,16-Apr, , , ,2,0,-0.190339,51.5578003
30,100063,Sarum Hall School,Other Independent School,Not applicable,15 Eton Avenue,London,NW3 3EL,Open,Girls,527291,184479,Belsize,Camden 014B,Camden, ,11-Mar, , , ,2,1,-0.165759,51.544899
31,100064,The Hall School,Other Independent School,Not applicable,23 Crossfield Road,London,NW3 4NU,Open,Boys,526932,184533,Belsize,Camden 011B,Camden, ,13-May, , , ,2,1,-0.170914,51.5453987
32,100064,The Hall School,Other Independent School,Not applicable,23 Crossfield Road,London,NW3 4NU,Open,Boys,526932,184533,Belsize,Camden 011B,Camden, ,13-May, , , ,2,0,-0.170914,51.5453987
33,100065,University College School,Other Independent School,Not applicable,Frognal,London,NW3 6XH,Open,Boys,526202,185414,Frognal and Fitzjohns,Camden 004B,Camden,http://www.ucs.org.uk/,18-Jul, , , ,2,1,-0.18112,51.5535011
34,100065,University College School,Other Independent School,Not applicable,Frognal,London,NW3 6XH,Open,Boys,526202,185414,Frognal and Fitzjohns,Camden 004B,Camden,http://www.ucs.org.uk/,18-Jul, , , ,2,0,-0.18112,51.5535011
35,100066,The Cavendish School,Other Independent School,Not applicable,31 Inverness Street,London,NW1 7HB,Open,Girls,528739,183866,Camden Town with Primrose Hill,Camden 021A,Camden,http://www.cavendish-school.co.uk/,11-Feb, , , ,2,1,-0.145113,51.5390015
36,100067,St Mary's School,Other Independent School,Not applicable,47 Fitzjohn's Avenue,London,NW3 6PG,Open,Mixed,526543,185092,Frognal and Fitzjohns,Camden 008A,Camden,http://www.stmh.co.uk/,11-Feb, , , ,2,1,-0.176319,51.550499
37,100068,North Bridge House Pre-Prep School,Other Independent School,Not applicable,8 Netherhall Gardens,London,NW3 5RR,Open,Mixed,526368,184811,Frognal and Fitzjohns,Camden 008C,Camden,www.northbridgehouse.com,7-May, , , ,2,1,-0.178943,51.5480995
38,100069,Hereward House School,Other Independent School,Not applicable,14 Strathray Gardens,London,NW3 4NY,Open,Boys,527001,184495,Belsize,Camden 011B,Camden, ,13-Apr, , , ,2,1,-0.169933,51.5451012
39,100069,Hereward House School,Other Independent School,Not applicable,14 Strathray Gardens,London,NW3 4NY,Open,Boys,527001,184495,Belsize,Camden 011B,Camden, ,13-Apr, , , ,2,0,-0.169933,51.5451012
40,100070,St Anthony's Preparatory School,Other Independent School,Not applicable,90 Fitzjohn's Avenue,London,NW3 6NP,Open,Boys,526536,185454,Hampstead Town,Camden 008D,Camden, ,13-Apr, , , ,2,1,-0.17629,51.5537987
41,100070,St Anthony's Preparatory School,Other Independent School,Not applicable,90 Fitzjohn's Avenue,London,NW3 6NP,Open,Boys,526536,185454,Hampstead Town,Camden 008D,Camden, ,13-Apr, , , ,2,0,-0.17629,51.5537987
42,100071,North Bridge Nursery School,Other Independent School,Not applicable,33 Fitzjohn's Avenue,London,NW3 5JY,Open,Mixed,526549,184913,Frognal and Fitzjohns,Camden 008C,Camden,www.northbridgehouse.com,6-Feb, , , ,2,1,-0.176297,51.5489006
43,100072,Lyndhurst House Preparatory School,Other Independent School,Not applicable,24 Lyndhurst Gardens,London,NW3 5NW,Open,Boys,526875,185297,Hampstead Town,Camden 008D,Camden,http://www.lyndhursthouse.co.uk/,13-Apr, , , ,2,1,-0.17146,51.5522995
44,100072,Lyndhurst House Preparatory School,Other Independent School,Not applicable,24 Lyndhurst Gardens,London,NW3 5NW,Open,Boys,526875,185297,Hampstead Town,Camden 008D,Camden,http://www.lyndhursthouse.co.uk/,13-Apr, , , ,2,0,-0.17146,51.5522995
45,100073,Hampstead Hill School,Other Independent School,Not applicable,St Stephens Hall,London,NW3 2PP,Open,Mixed,527085,185400,Hampstead Town,Camden 008E,Camden,www.hampsteadhillschool.co.uk,8-Feb, , , ,2,1,-0.168396,51.5531998
46,100074,North Bridge House Senior School,Other Independent School,Not applicable,65 Rosslyn Hill,London,NW3 5UD,Open,Mixed,526640,185531,Hampstead Town,Camden 002B,Camden, ,16-Nov, , , ,2,0,-0.174763,51.5545006
47,100075,Trevor-Roberts School,Other Independent School,Not applicable,55-57 Eton Avenue,London,NW3 3ET,Open,Mixed,526981,184414,Belsize,Camden 011B,Camden, ,13-Apr, , , ,2,1,-0.17025,51.5443993
48,100075,Trevor-Roberts School,Other Independent School,Not applicable,55-57 Eton Avenue,London,NW3 3ET,Open,Mixed,526981,184414,Belsize,Camden 011B,Camden, ,13-Apr, , , ,2,0,-0.17025,51.5443993
49,100076,South Hampstead High School,Other Independent School,Not applicable,3 Maresfield Gardens,London,NW3 5SS,Open,Girls,526491,184607,Frognal and Fitzjohns,Camden 008C,Camden,http://www.gdst.net/shhs,18-Apr, , , ,2,1,-0.177243,51.5461998
50,100076,South Hampstead High School,Other Independent School,Not applicable,3 Maresfield Gardens,London,NW3 5SS,Open,Girls,526491,184607,Frognal and Fitzjohns,Camden 008C,Camden,http://www.gdst.net/shhs,18-Apr, , , ,2,0,-0.177243,51.5461998
51,100077,The Village School,Other Independent School,Not applicable,2 Parkhill Road,London,NW3 2YN,Open,Girls,527781,184808,Haverstock,Camden 006E,Camden,www.thevillageschool.org.uk,11-Mar, , , ,2,1,-0.158577,51.547699
52,100078,Heathside Preparatory School,Other Independent School,Not applicable,16 New End,London,NW3 1JA,Open,Mixed,526506,185985,Hampstead Town,Camden 002E,Camden, ,12-Mar, , , ,2,1,-0.176532,51.5586014
53,100078,Heathside Preparatory School,Other Independent School,Not applicable,16 New End,London,NW3 1JA,Open,Mixed,526506,185985,Hampstead Town,Camden 002E,Camden, ,12-Mar, , , ,2,0,-0.176532,51.5586014
54,100080,Devonshire House Preparatory School,Other Independent School,Not applicable,2 Arkwright Road,London,NW3 6AE,Open,Mixed,526456,185413,Frognal and Fitzjohns,Camden 004B,Camden,http://www.devonshirehouseschool.co.uk/,13-Feb, , , ,2,1,-0.177458,51.5535011
55,100080,Devonshire House Preparatory School,Other Independent School,Not applicable,2 Arkwright Road,London,NW3 6AE,Open,Mixed,526456,185413,Frognal and Fitzjohns,Camden 004B,Camden,http://www.devonshirehouseschool.co.uk/,13-Feb, , , ,2,0,-0.177458,51.5535011
56,100081,Broadhurst School,Other Independent School,Not applicable,19 Greencroft Gardens,London,NW6 3LP,Open,Mixed,526211,184422,Swiss Cottage,Camden 016A,Camden, ,6-Feb, , , ,2,1,-0.181345,51.5446014
57,100082,College Francais Bilingue De Londres,Other Independent School,Not applicable,87 Holmes Road,London,NW5 3AX,Open,Mixed,528672,184981,Kentish Town,Camden 007E,Camden, ,16-May, , , ,2,1,-0.145671,51.549099
58,100082,College Francais Bilingue De Londres,Other Independent School,Not applicable,87 Holmes Road,London,NW5 3AX,Open,Mixed,528672,184981,Kentish Town,Camden 007E,Camden, ,16-May, , , ,2,0,-0.145671,51.549099
59,100084,Fine Arts College,Other Independent School,Not applicable,Centre Studios,London,NW3 4YD,Open,Mixed,527535,184578,Belsize,Camden 014B,Camden, ,14 - 19, , , ,2,0,-0.162206,51.5457001
60,100086,Rainbow Montessori School,Other Independent School,Not applicable,13 Woodchurch Road,London,NW6 3PL,Open,Mixed,525526,184221,Swiss Cottage,Camden 016C,Camden,http://www.rainbowmontessori.co.uk/,12-Apr, , , ,2,1,-0.19129,51.5429001
61,100086,Rainbow Montessori School,Other Independent School,Not applicable,13 Woodchurch Road,London,NW6 3PL,Open,Mixed,525526,184221,Swiss Cottage,Camden 016C,Camden,http://www.rainbowmontessori.co.uk/,12-Apr, , , ,2,0,-0.19129,51.5429001
62,100087,The Mulberry House School,Other Independent School,Not applicable,68 Shoot Up Hill,London,NW2 3XL,Open,Mixed,524350,185100,Fortune Green,Camden 013A,Camden, ,7-Feb, , , ,2,1,-0.207929,51.5511017
63,100088,The Phoenix School,Other Independent School,Not applicable,36 College Crescent,London,NW3 5LF,Open,Mixed,526485,184553,Frognal and Fitzjohns,Camden 008C,Camden, ,7-Mar, , , ,2,1,-0.177349,51.5457001
64,100090,Southbank International School,Other Independent School,Not applicable,16 Netherhall Gardens,London,NW3 5TH,Open,Mixed,526368,184950,Frognal and Fitzjohns,Camden 008A,Camden,http://www.southbank.org/,11-Mar, , , ,2,1,-0.178893,51.5493011
65,100198,The Pointer School,Other Independent School,Not applicable,19 Stratheden Road,London,SE3 7TH,Open,Mixed,540209,177029,Blackheath Westcombe,Greenwich 021A,Greenwich, ,11-Mar, , , ,2,1,0.0174517,51.4748993
66,100199,Blackheath Preparatory School,Other Independent School,Not applicable,4 St German's Place,London,SE3 0NJ,Open,Mixed,540095,176757,Blackheath Westcombe,Greenwich 021C,Greenwich,www.blackheathprepschool.com,11-Mar, , , ,2,1,0.0157035,51.4724998
67,100200,Riverston School,Other Independent School,Not applicable,63-69 Eltham Road,London,SE12 8UF,Open,Mixed,540433,174828,Middle Park and Sutcliffe,Greenwich 034C,Greenwich, ,19-Jan, , , ,2,1,0.0198013,51.4550018
68,100200,Riverston School,Other Independent School,Not applicable,63-69 Eltham Road,London,SE12 8UF,Open,Mixed,540433,174828,Middle Park and Sutcliffe,Greenwich 034C,Greenwich, ,19-Jan, , , ,2,0,0.0198013,51.4550018
69,100201,St Olave's Preparatory School,Other Independent School,Not applicable,106-110 Southwood Road,London,SE9 3QS,Open,Mixed,543704,172762,Coldharbour and New Eltham,Greenwich 032C,Greenwich, ,11-Mar, , , ,2,1,0.066009,51.4356003
70,100202,Colfes School,Other Independent School,Not applicable,Horn Park Lane,London,SE12 8AW,Open,Mixed,540572,174309,Middle Park and Sutcliffe,Greenwich 034D,Greenwich, ,18-Mar, , , ,2,1,0.0215945,51.4502983
71,100202,Colfes School,Other Independent School,Not applicable,Horn Park Lane,London,SE12 8AW,Open,Mixed,540572,174309,Middle Park and Sutcliffe,Greenwich 034D,Greenwich, ,18-Mar, , , ,2,0,0.0215945,51.4502983
72,100203,Heath House Preparatory School,Other Independent School,Not applicable,37 Wemyss Road,London,SE3 0TG,Open,Mixed,539675,176150,Blackheath,Lewisham 009B,Lewisham, ,11-Mar, , , ,2,1,0.0094206,51.4670982
73,100287,Yesodey Hatorah School,Other Independent School,Not applicable,2-4 Amhurst Park,London,N16 5AE,Open,Mixed,533530,187905,New River,Hackney 001B,Hackney, ,16-May, , , ,2,1,-0.0745405,51.5741997
74,100287,Yesodey Hatorah School,Other Independent School,Not applicable,2-4 Amhurst Park,London,N16 5AE,Open,Mixed,533530,187905,New River,Hackney 001B,Hackney, ,16-May, , , ,2,0,-0.0745405,51.5741997
75,100289,Talmud Torah Yetev Lev,Other Independent School,Not applicable,111-115 Cazenove Road,London,N16 6AX,Open,Boys,534258,187015,Cazenove,Hackney 029B,Hackney, ,12-Feb, , , ,2,1,-0.0643814,51.5660019
76,100289,Talmud Torah Yetev Lev,Other Independent School,Not applicable,111-115 Cazenove Road,London,N16 6AX,Open,Boys,534258,187015,Cazenove,Hackney 029B,Hackney, ,12-Feb, , , ,2,0,-0.0643814,51.5660019
77,100291,Bnois Jerusalem Girls School,Other Independent School,Not applicable,79/81 Amhurst Park,London,N16 5DL,Open,Girls,532994,187930,New River,Hackney 003D,Hackney, ,16-Mar, , , ,2,1,-0.0822609,51.5746002
78,100291,Bnois Jerusalem Girls School,Other Independent School,Not applicable,79/81 Amhurst Park,London,N16 5DL,Open,Girls,532994,187930,New River,Hackney 003D,Hackney, ,16-Mar, , , ,2,0,-0.0822609,51.5746002
79,100293,Beis Rochel d'Satmar Girls' School,Other Independent School,Not applicable,51-57 Amhurst Park,London,N16 5DL,Open,Mixed,533153,187929,New River,Hackney 003D,Hackney, ,19-Mar, , , ,2,1,-0.0799683,51.574501
80,100293,Beis Rochel d'Satmar Girls' School,Other Independent School,Not applicable,51-57 Amhurst Park,London,N16 5DL,Open,Mixed,533153,187929,New River,Hackney 003D,Hackney, ,19-Mar, , , ,2,0,-0.0799683,51.574501
81,100294,Talmud Torah Machzikei Hadass School,Other Independent School,Not applicable,98 Clapton Common,London,E5 9SN,Open,Boys,534146,187743,Springfield,Hackney 001E,Hackney, ,16-Mar, , , ,2,1,-0.0657187,51.5726013
82,100294,Talmud Torah Machzikei Hadass School,Other Independent School,Not applicable,98 Clapton Common,London,E5 9SN,Open,Boys,534146,187743,Springfield,Hackney 001E,Hackney, ,16-Mar, , , ,2,0,-0.0657187,51.5726013
83,100295,Beis Malka Girls' School,Other Independent School,Not applicable,93 Alkham Road,London,N16 6XD,Open,Girls,533811,187086,Cazenove,Hackney 006B,Hackney, ,16-Mar, , , ,2,1,-0.0707996,51.5667992
84,100295,Beis Malka Girls' School,Other Independent School,Not applicable,93 Alkham Road,London,N16 6XD,Open,Girls,533811,187086,Cazenove,Hackney 006B,Hackney, ,16-Mar, , , ,2,0,-0.0707996,51.5667992
85,100296,Talmud Torah Chaim Meirim Wiznitz School,Other Independent School,Not applicable,26 Lampard Grove,London,N16 6XB,Open,Boys,533841,187130,Cazenove,Hackney 006B,Hackney, ,13-Apr, , , ,2,1,-0.0703503,51.5671997
86,100296,Talmud Torah Chaim Meirim Wiznitz School,Other Independent School,Not applicable,26 Lampard Grove,London,N16 6XB,Open,Boys,533841,187130,Cazenove,Hackney 006B,Hackney, ,13-Apr, , , ,2,0,-0.0703503,51.5671997
87,100298,Talmud Torah Bobov Primary School,Other Independent School,Not applicable,87 Egerton Road,London,N16 6UE,Open,Boys,533958,187920,Springfield,Hackney 001E,Hackney, ,13-Feb, , , ,2,1,-0.0683624,51.5741997
88,100298,Talmud Torah Bobov Primary School,Other Independent School,Not applicable,87 Egerton Road,London,N16 6UE,Open,Boys,533958,187920,Springfield,Hackney 001E,Hackney, ,13-Feb, , , ,2,0,-0.0683624,51.5741997
89,100299,T T T Y Y School,Other Independent School,Not applicable,14 Heathland Road,London,N16 5NH,Open,Boys,533064,187207,Lordship,Hackney 003B,Hackney, ,13-Feb, , , ,2,1,-0.081525,51.5681
90,100299,T T T Y Y School,Other Independent School,Not applicable,14 Heathland Road,London,N16 5NH,Open,Boys,533064,187207,Lordship,Hackney 003B,Hackney, ,13-Feb, , , ,2,0,-0.081525,51.5681
91,100300,Tayyibah Girls' School,Other Independent School,Not applicable,88 Filey Avenue,London,N16 6JJ,Open,Girls,534460,187173,Cazenove,Hackney 029B,Hackney, ,18-Apr, , , ,2,1,-0.0614084,51.5674019
92,100300,Tayyibah Girls' School,Other Independent School,Not applicable,88 Filey Avenue,London,N16 6JJ,Open,Girls,534460,187173,Cazenove,Hackney 029B,Hackney, ,18-Apr, , , ,2,0,-0.0614084,51.5674019
93,100301,Paragon Christian Academy,Other Independent School,Not applicable,233-241 Glyn Road,London,E5 0JP,Open,Mixed,535773,185881,King's Park,Hackney 015C,Hackney, ,18-Apr, , , ,2,1,-0.0429747,51.5555
94,100301,Paragon Christian Academy,Other Independent School,Not applicable,233-241 Glyn Road,London,E5 0JP,Open,Mixed,535773,185881,King's Park,Hackney 015C,Hackney, ,18-Apr, , , ,2,0,-0.0429747,51.5555
95,100303,River House Montessori School,Other Independent School,Not applicable,Unit C Great Eastern Enterprise Centre,London,E14 9XP,Open,Mixed,537643,179702,Millwall,Tower Hamlets 033B,Tower Hamlets, ,16-Mar, , , ,2,1,-0.0184308,51.4995003
96,100303,River House Montessori School,Other Independent School,Not applicable,Unit C Great Eastern Enterprise Centre,London,E14 9XP,Open,Mixed,537643,179702,Millwall,Tower Hamlets 033B,Tower Hamlets, ,16-Mar, , , ,2,0,-0.0184308,51.4995003
97,100366,St Paul's Girls' School,Other Independent School,Not applicable,Brook Green,London,W6 7BS,Open,Girls,523743,178859,Avonmore and Brook Green,Hammersmith and Fulham 010D,Hammersmith and Fulham, ,19-Oct, , , ,2,1,-0.218869,51.4952011
98,100366,St Paul's Girls' School,Other Independent School,Not applicable,Brook Green,London,W6 7BS,Open,Girls,523743,178859,Avonmore and Brook Green,Hammersmith and Fulham 010D,Hammersmith and Fulham, ,19-Oct, , , ,2,0,-0.218869,51.4952011
99,100368,Bute House Preparatory School,Other Independent School,Not applicable,Luxemburg Gardens,London,W6 7EA,Open,Girls,523536,178930,Avonmore and Brook Green,Hammersmith and Fulham 010D,Hammersmith and Fulham, ,11-Apr, , , ,2,1,-0.221824,51.4958
100,100369,The Godolphin and Latymer School,Other Independent School,Not applicable,Iffley Road,London,W6 0PG,Open,Girls,522972,178861,Hammersmith Broadway,Hammersmith and Fulham 009C,Hammersmith and Fulham, ,18-Nov, , , ,2,0,-0.229969,51.4953003
101,100370,Latymer Upper School,Other Independent School,Not applicable,237 King Street,London,W6 9LR,Open,Mixed,522457,178593,Ravenscourt Park,Hammersmith and Fulham 011C,Hammersmith and Fulham, ,19-Jul, , , ,2,1,-0.237476,51.493
102,100370,Latymer Upper School,Other Independent School,Not applicable,237 King Street,London,W6 9LR,Open,Mixed,522457,178593,Ravenscourt Park,Hammersmith and Fulham 011C,Hammersmith and Fulham, ,19-Jul, , , ,2,0,-0.237476,51.493
103,100371,Ecole Française de Londres Jacques Prévert,Other Independent School,Not applicable,59 Brook Green,London,W6 7BE,Open,Mixed,523811,178942,Avonmore and Brook Green,Hammersmith and Fulham 010D,Hammersmith and Fulham, ,11-Mar, , , ,2,1,-0.21786,51.4958992
104,100372,Al-Muntada Islamic School,Other Independent School,Not applicable,7 Bridges Place,London,SW6 4HW,Open,Mixed,524991,176794,Town,Hammersmith and Fulham 021D,Hammersmith and Fulham, ,11-Apr, , , ,2,1,-0.201631,51.4762993
105,100373,Ravenscourt Park Preparatory School,Other Independent School,Not applicable,16 Ravenscourt Avenue,London,W6 0SL,Open,Mixed,522386,178711,Ravenscourt Park,Hammersmith and Fulham 011C,Hammersmith and Fulham, ,11-Apr, , , ,2,1,-0.238458,51.4940987
106,100374,Sinclair House School,Other Independent School,Not applicable,159 Munster Road,London,SW6 6DA,Open,Mixed,524356,176939,Munster,Hammersmith and Fulham 022B,Hammersmith and Fulham, ,13-Feb, , , ,2,1,-0.210718,51.4777985
107,100374,Sinclair House School,Other Independent School,Not applicable,159 Munster Road,London,SW6 6DA,Open,Mixed,524356,176939,Munster,Hammersmith and Fulham 022B,Hammersmith and Fulham, ,13-Feb, , , ,2,0,-0.210718,51.4777985
108,100375,L'Ecole des Petits School,Other Independent School,Not applicable,2 Hazlebury Road,London,SW6 2NB,Open,Mixed,525738,176341,Sands End,Hammersmith and Fulham 025C,Hammersmith and Fulham, ,6-Mar, , , ,2,1,-0.191041,51.4720993
109,100376,Le Herisson School,Other Independent School,Not applicable,Rivercourt Methodist Church,London,W6 9JT,Open,Mixed,522559,178561,Ravenscourt Park,Hammersmith and Fulham 011C,Hammersmith and Fulham, ,6-Feb, , , ,2,1,-0.236019,51.4926987
110,100461,Italia Conti Academy of Theatre Arts,Other Independent School,Not applicable,23 Goswell Road,London,EC1M 7AJ,Open,Mixed,532064,182084,Bunhill,Islington 022H,Islington,www.italiaconti.co.uk,16-Oct, , , ,2,1,-0.0978655,51.5223007
111,100461,Italia Conti Academy of Theatre Arts,Other Independent School,Not applicable,23 Goswell Road,London,EC1M 7AJ,Open,Mixed,532064,182084,Bunhill,Islington 022H,Islington,www.italiaconti.co.uk,16-Oct, , , ,2,0,-0.0978655,51.5223007
112,100462,Dallington School,Other Independent School,Not applicable,8 Dallington Street,London,EC1V 0BW,Open,Mixed,531874,182346,Bunhill,Islington 022G,Islington,www.dallingtonschool.co.uk,11-Mar, , , ,2,1,-0.100505,51.5247002
113,100463,Charterhouse Square School,Other Independent School,Not applicable,40 Charterhouse Square,London,EC1M 6EA,Open,Mixed,531998,181875,Farringdon Within,City of London 001G,City of London, ,11-Mar, , , ,2,1,-0.0988945,51.520401
114,100507,Redcliffe School,Other Independent School,Not applicable,47 Redcliffe Gardens,London,SW10 9JH,Open,Mixed,526010,177915,Redcliffe,Kensington and Chelsea 020C,Kensington and Chelsea,www.redcliffeschool.com,11-Mar, , , ,2,1,-0.186566,51.4861984
